ID,Company-path,Description,Price,Price 2,Currency,Discount percentage,Company,Type,Model,Processor Brand,Processor,RAM,Storage,GPU,Screen,Color,OS
https://barbechli.tn/product/0d46ee792005979dfc4cc64cb3a3d2ae,https://barbechli.tn/prefix/polls/assets/images/logos/logo-technopro_online.jpg,PC Portable Gigabyte G5 KF5 i5 13500H/24GB/1TB SSD/RTX4060 8GB/15.6'' 144Hz,3225,3185.0,DT,,Technopro,PC Portable,,,i5,,1TB SSD,RTX4060,,,
https://barbechli.tn/product/f56eb1cfbaa16891b3e52731caea1b91,https://barbechli.tn/prefix/polls/assets/images/logos/logo-technopro_online.jpg,Pc portable Dell Gaming G15 5530 / i7 13è Gén / 32 Go / RTX 3050 6G / Windows 11,3360,3499.0,DT,-4.0,Technopro,Pc portable,Dell Gaming G15 5530 / i7 13è Gén /,,i7,32 Go,32 Go,RTX 3050,,,Windows 11
https://barbechli.tn/product/81196f32eec8c3797fb32fb1113c5462,https://barbechli.tn/prefix/polls/assets/images/logos/logo-mytek.jpg,PC Portable LENOVO IdeaPad 1 15IJL7 Intel Celeron N4500 8 Go 256Go SSD - Gris,745,759.0,DT,-2.0,Mytek,PC Portable,LENOVO IdeaPad 1 15IJL7,Intel,Celeron N4500,8 Go,8 Go,,,Gris,
https://barbechli.tn/product/50f66928b216013fcf97ff80bea990b8,https://barbechli.tn/prefix/polls/assets/images/logos/logo-tunisianet.jpg,"Écran Gaming Cooler Master GA2711 27"" 2K QHD IPS / 100 Hz",499,,,,Tunisianet,Écran Gaming,,,,,,,"27""",,
https://barbechli.tn/product/e41b09238625ea561b6780ea40470e51,https://barbechli.tn/prefix/polls/assets/images/logos/logo-tech_store.jpg,PC PORTABLE LENOVO IDEAPAD GAMING 3 I5-11320H 8 GO RTX 3050 TI,2429,,,,Tech Store,PC PORTABLE,LENOVO IDEAPAD GAMING 3 I5-11320H,,I5,8 GO,8 GO,RTX 3050,,,
https://barbechli.tn/product/d02e258b1b9fca72da78a213a39fbd47,https://barbechli.tn/prefix/polls/assets/images/logos/logo-mediavision.jpg,Pc Portable LENOVO IdeaPad 3 Ryzen 7. - 8Go - 512Go SSD - Bleu,1469,,,,Mediavision,Pc Portable,LENOVO IdeaPad 3,Ryzen,Ryzen 7,8Go,8Go,,,Bleu,
https://barbechli.tn/product/f8fbd0b591fb9e528422546b03a3b7ad,https://barbechli.tn/prefix/polls/assets/images/logos/logo-electrotounes.jpg,ASUS VIVOBOOK 15 X1502VA | i7-13700H | 8GO | 512GO SSD | SILVER,1969,1989.0,DT,-1.0,Electrotounes,,,,i7,8GO,8GO,,,SILVER,
https://barbechli.tn/product/620501caba3dbc8332225db4c155c159,https://barbechli.tn/prefix/polls/assets/images/logos/logo-mediavision.jpg,Pc Portable MSI GF63 Thin 12UCX-682XFR - I5 12ème Gén. - 8Go - 512Go SSD,2003,,,,Mediavision,Pc Portable,MSI GF63 Thin 12UCX-682XFR - I5 12ème Gén. -,,I5,8Go,8Go,,,,
https://barbechli.tn/product/7b33a7c4b62779b8506ab37d55fb3991,https://barbechli.tn/prefix/polls/assets/images/logos/logo-mytek.jpg,PC Portable ASUS Vivobook 15 X1502VA i7 13è Gén 16Go 512Go SSD - Silver,2039,,,,Mytek,PC Portable,ASUS Vivobook 15 X1502VA i7 13è Gén,,i7,16Go,16Go,,,Silver,
https://barbechli.tn/product/7a8643693a41d4427e475a4076652c98,https://barbechli.tn/prefix/polls/assets/images/logos/logo-mytek.jpg,PC Portable ASUS Vivobook 15 X1502VA i5 13è Gén 12Go 512Go SSD - Bleu,1669,,,,Mytek,PC Portable,ASUS Vivobook 15 X1502VA i5 13è Gén,,i5,12Go,12Go,,,Bleu,
https://barbechli.tn/product/f81e795deaf8ece9c9da351f42d55bbd,https://barbechli.tn/prefix/polls/assets/images/logos/logo-mytek.jpg,PC Portable LENOVO IdeaPad Flex 5 14IAU7 i7 12è Gén 8Go 512G SSD,2679,,,,Mytek,PC Portable,LENOVO IdeaPad Flex 5 14IAU7 i7 12è Gén,,i7,8Go,8Go,,,,
https://barbechli.tn/product/5753343ffaaaaf20cba34f1bc794dc73,https://barbechli.tn/prefix/polls/assets/images/logos/logo-tunisianet.jpg,"Ecran Gaming Curved Redragon CORAL 27""QHD 2K / 180Hz / NOIR",629,599.0,DT,,Tunisianet,Ecran Gaming,,,,,,,"27""",NOIR,
https://barbechli.tn/product/5e5f4a7eb60cac83415dcded50b2d675,https://barbechli.tn/prefix/polls/assets/images/logos/logo-mytek.jpg,PC Portable LENOVO IdeaPad 1 15ALC7 AMD RYZEN 7 16Go 512G SSD - Gris,1569,,,,Mytek,PC Portable,LENOVO IdeaPad 1 15ALC7,AMD,,16Go,16Go,,,Gris,
https://barbechli.tn/product/55e58792d07f0f388fac8493bb65bdc2,https://barbechli.tn/prefix/polls/assets/images/logos/logo-mediavision.jpg,Pc Portable Asus Tuf Gaming FX506HF-HN014W i5 11ème Gén.- 8Go - 512Go SSD,2199,,,,Mediavision,Pc Portable,Asus Tuf Gaming FX506HF-HN014W i5 11ème Gén.-,N014,N014,8Go,8Go,,,,
https://barbechli.tn/product/b8f26062ecbd164a46ff46b65cd2314b,https://barbechli.tn/prefix/polls/assets/images/logos/logo-mytek.jpg,PC Portable LENOVO IdeaPad Flex 5 14IAU7 i7 12ème Gén 8Go 512Go SSD,2739,,,,Mytek,PC Portable,LENOVO IdeaPad Flex 5 14IAU7 i7 12ème Gén,,i7,8Go,8Go,,,,
https://barbechli.tn/product/1a70e32bbbe08275ac192d2c51a454e4,https://barbechli.tn/prefix/polls/assets/images/logos/logo-mytek.jpg,PC Portable ASUS Vivobook 15 X1502VA i5 13è Gén 24Go 512Go SSD - Bleu,1729,,,,Mytek,PC Portable,ASUS Vivobook 15 X1502VA i5 13è Gén,,i5,24Go,24Go,,,Bleu,
https://barbechli.tn/product/6b0016c10526ef874fb4aac7548f06ce,https://barbechli.tn/prefix/polls/assets/images/logos/logo-technopro_online.jpg,Pc Portable ASUS VivoBook 15 i5 13è Gén 8GO 512GO SSD - Silver,1579,1699.0,DT,-7.0,Technopro,Pc Portable,ASUS VivoBook 15 i5 13è Gén,,i5,8GO,8GO,,,Silver,
https://barbechli.tn/product/ba90de9490e55453f48dedac9fbcc172,https://barbechli.tn/prefix/polls/assets/images/logos/logo-technopro_online.jpg,Pc Portable Gamer LENOVO LOQ 15APH8 AMD RYZEN 7 16GO RTX 3050,2999,3249.0,DT,-8.0,Technopro,Pc Portable,Gamer LENOVO LOQ 15APH8,AMD,,16GO,16GO,RTX 3050,,,
